#OTU ID	7541v1	7541v2	7542v1	7544v1	7544v2	7547v1	7547v2	7548v1	7548v2	7549v1	7549v2	7554v1	7556v1	7556v2	7557v1	7557v2	7558v1	7559v1	7559v2	7561v1	7561v2	7562v1	7562v2	7563v1	7563v2	7564v1	7564v2	7565v1	7565v2	7566v1	7567v1	7567v2	7569v1	7569v2	7572v1	7572v2	7578v1	7578v2	7581v1	7581v2	7583v1	7584v1	7584v2	7587v1	7587v2	7589v1	7590v1	7590v2	7594v1	7594v2	7595v1	7595v2	7602v1	7602v2	7605v1	7605v2	7606v1	7606v2	7607v1	7607v2	7608v1	7608v2	7610v1	7610v2	7611v1	7611v2	7613v1	7613v2	7615v1	7615v2	7616v1	7616v2
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;t__Methanobrevibacter_smithii_ATCC_35061	0	0	0	3	39	0	0	850	386	0	0	0	0	321	0	0	0	179	4	0	0	229	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	2	0	0	9	1107	0	0	0	0	0	1	366	89	0	0	0	1	1	0	0	0	0	0	0	12	0	1	38	0	9	1
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Candidatus_Methanomassiliicoccus_intestinalis;t__Candidatus_Methanomassiliicoccus_intestinalis_Issoire-Mx1	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__;c__;o__;f__;g__;s__bacterium_LF-3;t__	2210	0	0	710	155	0	8	0	0	634	508	0	422	139	0	0	7	747	298	50	136	279	331	697	718	314	1110	146	265	7	0	6	287	676	1029	1098	0	259	1606	359	304	381	115	854	1305	110	1271	532	0	1	355	0	742	154	0	13	11	41	1456	0	94	712	47	140	0	9	138	195	32	4	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum_sp._oral_taxon_183;t__Actinobaculum_sp._oral_taxon_183_str._F0552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	2	0	0	0	0	0	34	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_cardiffensis;t__Actinomyces_cardiffensis_F0333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_dentalis;t__Actinomyces_dentalis_DSM_19115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_graevenitzii;t__Actinomyces_graevenitzii_C83	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	130	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_hongkongensis;t__	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_johnsonii;t__Actinomyces_johnsonii_F0542	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_massiliensis;t__Actinomyces_massiliensis_4401292	0	2	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
